x: 136, y: 462
x: 157, y: 118
x: 355, y: 254
x: 337, y: 181
x: 239, y: 82
x: 446, y: 25
x: 365, y: 205
x: 273, y: 161
x: 460, y: 278
x: 317, y: 134
x: 117, y: 311
x: 135, y: 234
x: 450, y: 227
x: 90, y: 261
x: 170, y: 28
x: 306, y: 61
x: 191, y: 431
x: 301, y: 161
x: 169, y: 291
x: 72, y: 469
x: 372, y: 268
x: 151, y: 376
x: 266, y: 351
x: 14, y: 8
x: 147, y: 370
x: 138, y: 68
x: 278, y: 21
x: 202, y: 293
x: 318, y: 262
x: 357, y: 365
x: 103, y: 441
x: 362, y: 395
x: 409, y: 338
x: 124, y: 319
x: 351, y: 371
x: 411, y: 137
x: 319, y: 59
x: 37, y: 354
x: 423, y: 440
x: 334, y: 67
x: 366, y: 448
x: 167, y: 20
x: 337, y: 191
x: 68, y: 242
x: 380, y: 17
