x: 1802, y: 927, id: 1, width: 97, height: 332
x: 728, y: 961, id: 2, width: 117, height: 243
x: 1643, y: 1556, id: 3, width: 229, height: 60
x: 1703, y: 1468, id: 4, width: 15, height: 34
x: 304, y: 899, id: 5, width: 247, height: 47
x: 429, y: 1069, id: 6, width: 18, height: 380
x: 1212, y: 981, id: 7, width: 182, height: 332
x: 1075, y: 1654, id: 8, width: 389, height: 159
x: 1168, y: 370, id: 9, width: 316, height: 15
x: 1454, y: 568, id: 10, width: 354, height: 46
x: 935, y: 553, id: 11, width: 345, height: 58
x: 1654, y: 245, id: 12, width: 277, height: 164
x: 155, y: 725, id: 13, width: 383, height: 165
x: 1661, y: 745, id: 14, width: 59, height: 57
x: 1928, y: 1268, id: 15, width: 28, height: 336
x: 413, y: 1883, id: 16, width: 211, height: 57
x: 1472, y: 1323, id: 17, width: 96, height: 323
x: 665, y: 1242, id: 18, width: 285, height: 189
x: 639, y: 50, id: 19, width: 287, height: 202
x: 60, y: 669, id: 20, width: 269, height: 15
x: 462, y: 592, id: 21, width: 336, height: 50
x: 877, y: 440, id: 22, width: 47, height: 263
x: 1572, y: 53, id: 23, width: 344, height: 137
x: 506, y: 455, id: 24, width: 112, height: 79
x: 304, y: 130, id: 25, width: 15, height: 216
x: 241, y: 1607, id: 26, width: 218, height: 198
x: 242, y: 1180, id: 27, width: 114, height: 337
x: 1549, y: 916, id: 28, width: 135, height: 52
x: 1, y: 1365, id: 29, width: 98, height: 50
x: 1204, y: 391, id: 30, width: 250, height: 27
x: 125, y: 1607, id: 31, width: 64, height: 122
x: 659, y: 1692, id: 32, width: 221, height: 200
x: 61, y: 1853, id: 33, width: 51, height: 128
x: 1184, y: 518, id: 34, width: 118, height: 13
x: 1669, y: 1040, id: 35, width: 107, height: 19
x: 363, y: 568, id: 36, width: 84, height: 80
x: 995, y: 1475, id: 37, width: 192, height: 45
x: 1723, y: 1638, id: 38, width: 273, height: 204
x: 1395, y: 36, id: 39, width: 150, height: 223
x: 1055, y: 1870, id: 40, width: 259, height: 44
x: 18, y: 411, id: 41, width: 253, height: 39
x: 1076, y: 643, id: 42, width: 25, height: 149
x: 944, y: 29, id: 43, width: 337, height: 66
x: 1379, y: 627, id: 44, width: 104, height: 213
x: 700, y: 811, id: 45, width: 45, height: 31
x: 16, y: 604, id: 46, width: 58, height: 8
x: 525, y: 1497, id: 47, width: 307, height: 154
x: 964, y: 1257, id: 48, width: 213, height: 164
x: 890, y: 1069, id: 49, width: 306, height: 146
x: 956, y: 341, id: 50, width: 74, height: 25
x: 946, y: 643, id: 51, width: 54, height: 275
x: 595, y: 672, id: 52, width: 7, height: 204
x: 322, y: 189, id: 53, width: 219, height: 259
x: 1278, y: 1319, id: 54, width: 111, height: 182
x: 1498, y: 530, id: 55, width: 222, height: 18
x: 248, y: 540, id: 56, width: 100, height: 36
x: 1661, y: 1118, id: 57, width: 104, height: 184
x: 1854, y: 698, id: 58, width: 40, height: 144
x: 23, y: 1036, id: 59, width: 36, height: 65
x: 86, y: 12, id: 60, width: 340, height: 72
x: 57, y: 104, id: 61, width: 105, height: 11
x: 201, y: 104, id: 62, width: 14, height: 203
x: 1216, y: 833, id: 63, width: 119, height: 31
x: 866, y: 801, id: 64, width: 70, height: 245
x: 76, y: 902, id: 65, width: 152, height: 85
x: 896, y: 1548, id: 66, width: 59, height: 332
x: 947, y: 292, id: 67, width: 319, height: 32
x: 849, y: 543, id: 68, width: 15, height: 262
x: 1403, y: 1875, id: 69, width: 28, height: 66
x: 1543, y: 1023, id: 70, width: 122, height: 92
x: 807, y: 1949, id: 71, width: 228, height: 19
x: 1118, y: 896, id: 72, width: 203, height: 57
x: 245, y: 355, id: 73, width: 35, height: 7
x: 1948, y: 989, id: 74, width: 11, height: 102
x: 1834, y: 414, id: 75, width: 106, height: 46
x: 709, y: 351, id: 76, width: 200, height: 18
x: 1533, y: 432, id: 77, width: 260, height: 76
x: 1445, y: 308, id: 78, width: 157, height: 9
x: 1586, y: 5, id: 79, width: 40, height: 19
